Capitulo,Numero,Titulo,Descricao,Categorias
Capítulo 1: Aparência,Pensar 3-5,A distinção entre aparências “autênticas” e “inautênticas”,Portmann diferencia aparências que emergem naturalmente para serem vistas daquelas reveladas artificialmente (como órgãos internos). As primeiras possuem uma lógica própria; as segundas surgem por violação da forma aparente do vivo.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 3-6,A diversidade e complexidade das aparências externas,"A variedade de formas exteriores entre plantas e animais é altamente organizada e diferenciada, enquanto os órgãos internos são visualmente caóticos e semelhantes entre espécies. Isso reforça a centralidade da superfície como estrutura significativa.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 3-7,O impulso de autoexibição (Selbstdarstellung),"Arendt enfatiza, com base em Portmann, que seres vivos possuem um impulso espontâneo de aparecer. O vivo se oferece ao olhar, ao toque e ao ouvido, indicando que o aparecer não é função secundária, mas dimensão constitutiva da vida.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 3-8,A autoexibição como estrutura ampliada no humano,"Esse impulso de aparecer, presente em animais superiores, alcança máxima expressão no humano, que intensifica e diversifica suas formas de exibição e apresentação no mundo.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 3-9,Valor expressivo da superfície,A superfície manifesta o “poder de expressão” do vivo — aquilo que se mostra por si mesmo. O interior possui funções mais primitivas; a superfície revela aquilo que vive se esforça para mostrar.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 3-10,Dificuldades terminológicas: o problema do “expressar”,"Arendt observa que a linguagem filosófica tradicional, ao insistir na relação interior–exterior, falha em captar fenômenos nos quais a aparência não expressa algo oculto, mas é completamente auto-suficiente enquanto aparecer.   ",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-1,"A dificuldade estrutural da relação “dentro–fora” nas categorias corpo, alma e mente","Arendt mostra que nossa linguagem filosófica herda metáforas corporais, o que produz confusão quando falamos da vida psíquica e mental — especialmente ao tentarmos localizar “alma” ou “mente” como se ocupassem um interior físico.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-2,A linguagem da alma é inicialmente sensível e somática,"A autora enfatiza que as expressões da alma surgem primeiro em formações sensíveis: afeto, dor, alegria, raiva, vergonha. Esse estágio é anterior a interpretações metafísicas ou psicológicas.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-3,Mente e imaginação permanecem dependentes do corpo,"Mesmo quando o pensamento se afasta das sensações, a mente continua dependente de faculdades corporais e imaginativas. A imaginação aparece como ponte indispensável entre corpo e atividade mental.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-4,O impulso de autoexibição continua operando no humano pensante,Arendt retoma o conceito de self-display (Selbstdarstellung) para mostrar que também na condição humana há um impulso espontâneo de aparecer — inclusive nas atividades mentais que tendem ao recolhimento.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-5,A psicologia científica não consegue lidar plenamente com a interioridade,O texto destaca que métodos científicos voltados à vida psíquica se chocam com a singularidade das experiências internas; seus resultados raramente capturam o dinamismo vivido da mente.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-6,Emoções são indispensáveis para a sobrevivência e moldam a ação visível,"Arendt mostra como emoções — medo, coragem, prazer, simpatia — derivam de condições vitais e se articulam com escolhas, comportamentos e ações que se tornam aparências públicas.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-7,A autoapresentação pode produzir ilusão e dissimulação,"A superfície humana nem sempre coincide com o que ocorre internamente; surgem problemas como semblante, ilusão e engano nas relações entre quem aparece e quem percebe.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-8,A figura do hipócrita: aparecer diferente do que se é,"Arendt introduz a noção de hipocrisia como domínio técnico da autoapresentação: o indivíduo molda sua aparência segundo expectativas externas, ocultando-se. A referência ao preceito socrático “aparece como desejas ser” resume o problema.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-9,A escolha como elemento central da autorrepresentação,"A autora destaca que o modo como aparecemos resulta de escolhas deliberadas dentro das possibilidades que o mundo permite, e tais escolhas impactam nossa identidade pública.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 4-10,Diferença estrutural entre mera existência e aparência,"Arendt afirma que existir não equivale a aparecer; a aparência envolve forma pública, relação com espectadores e configuração de identidade visível, enquanto a existência pode permanecer inapreensível.   ",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-1,A aparência envolve sempre a possibilidade de “semblante”,"Toda aparência contém um elemento de semblante, pois o “fundo” do qual ela emerge não aparece. Isso não significa que tudo seja falsidade, mas que não há aparência completamente livre de algum grau de ilusão.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-2,Semblante e erro são fenômenos correlatos no mundo das aparências,"Arendt mostra que a estrutura da percepção — pluralidade de pontos de vista, variação de perspectivas, limitação dos sentidos — produz inevitavelmente tanto erros quanto semblantes. Um não existe sem o outro.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-3,O aparecer múltiplo impede acesso a um “real total”,Nenhum observador pode apreender todos os aspectos de algo que aparece; cada ponto de vista revela e oculta ao mesmo tempo. A realidade plena permanece inacessível.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-4,Distinção entre semblantes autênticos e inautênticos,"Inspirando-se em Portmann, Arendt mostra que há ilusões que se desfazem facilmente (como miragens) e outras que são inerentes à condição humana, pois derivam da nossa posição no mundo e do modo como aparecemos enquanto seres terrestres.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-5,Ilusões naturais e inevitáveis do aparelho sensorial,"Retomando Kant, Arendt afirma que algumas ilusões derivam inevitavelmente da própria estrutura da razão e dos sentidos. Mesmo quando desmontadas, reaparecem continuamente, exigindo constante correção.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-6,Toda vida sensível está sujeita a aparências enganosas,"Animais e humanos podem produzir enganos perceptivos, seja por camuflagem biológica, seja por autorrepresentação consciente. Há uma continuidade entre os modos naturais e humanos de gerar semblâncias.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-7,O “interior” nunca aparece de forma estável,Arendt critica a ideia de um “eu interior” fixo. O que chamamos de interioridade é um fluxo contínuo de sensações e estados que não se estabilizam o suficiente para constituir uma aparência identificável.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-8,As sensações internas são “não-mundanas” por carecerem de forma e duração,"Segundo a leitura kantiana apresentada por Arendt, fenômenos internos não possuem a estabilidade necessária para se tornarem aparências reconhecíveis; não se estabilizam no tempo, a única forma de intuição interior.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-9,O tempo interno como repetição compulsiva,"A experiência interna só ganha alguma fixidez pela repetição de estados, mas isso pode se tornar patológico, levando à imobilização afetiva (como depressão ou euforia contínua).",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 5-10,Introdução ao papel de Kant: o “eu pensante” e o problema do “em si”,"O trecho final introduz o próximo tema: como Kant articula a noção de aparência, o conceito de Schein, a distinção entre fenômeno e coisa-em-si e a impossibilidade de acesso cognitivo ao “ser” que não aparece.   ",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 6-1,O problema kantiano do “coisa-em-si” no contexto da aparência,"Arendt destaca que nenhum filósofo levou tão longe quanto Kant o problema da aparência e do semblante. A “coisa em si” é algo que existe, mas não aparece, sendo para nós apenas pensável, nunca experienciável.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 6-2,"O pensamento contém conteúdos que não aparecem, mas que são “para nós”","Arendt enfatiza que existem conteúdos invisíveis (como Deus, liberdade, imortalidade) que não podem aparecer à experiência sensível, mas que a razão é capaz de pensar. Nesse sentido, eles são “para nós” enquanto objetos do pensamento, embora não do mundo.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 6-3,A tese de Portmann reforça a crítica da hierarquia entre o fundamento e a aparência,"Usando Portmann, Arendt sugere que Kant mantém a prioridade do fundamento invisível sobre a aparência sensível, mas que a fenomenalidade do mundo mostra que o visível é anterior à busca por fundamentos não visíveis.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 6-4,O “eu pensante” não aparece e não tem as características de um self,"O ego que pensa é caracterizado como atividade pura: sem corpo, sem qualidades, sem idade, sem história. É distinto do “eu” que aparece no mundo e não pode ser identificado com a pessoa empírica.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 6-5,A distinção entre ego pensante e eu empírico,Arendt apresenta essa dualidade: 	o eu empírico aparece e é reconhecível; 	o ego pensante nunca aparece e não é objeto de experiência. Essa distinção é vital para entender a autoconsciência e os limites entre aparecer e pensar.,Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 6-6,"O pensamento como atividade sem memória, sem duração, sem interior definido","O ego pensante não guarda as experiências como o corpo guarda impressões. Ele é descontínuo, sempre reiniciando, sem estabilidade nem identidade contínua — ao contrário do self empírico.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 6-7,Kant identifica falácias filosóficas originadas na confusão entre o pensar e o aparecer,Várias confusões históricas da metafísica derivam de atribuir ao ego pensante características do self empírico. Arendt ressalta que Kant é o primeiro a expor claramente essa falha.,Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 6-8,O pensar produz a ilusão de atemporalidade e imaterialidade,"Por não possuir forma, duração ou aparência, o pensamento gera a sensação da existência de um “algo” separado do corpo — uma espécie de duplo interior, cuja existência é apenas efeito da atividade pensante.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 6-9,O problema da relação do ego pensante com o mundo da aparência,O capítulo conduz para o ponto seguinte: como esse ego que não aparece pode lidar com um mundo que só existe como aparecer? Essa tensão será aprofundada na seção seguinte (“Reality and the thinking ego”).   ,Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 7-1,A dúvida cartesiana como ruptura entre pensar e perceber,Arendt destaca como a dúvida de Descartes — ao reduzir a percepção à possibilidade de engano — inaugura uma separação sistemática entre o mundo das aparências e a certeza do pensar.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-2,A intencionalidade da consciência (Husserl): não há subjetividade sem objeto,"Arendt observa que, para Husserl, toda consciência é consciência de algo. Mesmo quando a aparência é ilusória (como no sonho), há um objeto para o qual a consciência se dirige.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-3,A objetividade do mundo depende da subjetividade plural dos espectadores,O mundo é objetivo porque aparece para muitos; cada ato de aparecer pressupõe alguém que percebe. A pluralidade de percebedores dá ao mundo sua estabilidade.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-4,O erro filosófico de tomar a “espécie” como fundamento dos indivíduos,"Arendt menciona Marx para mostrar que um equívoco recorrente é tratar categorias gerais (como “homem”, “leão”, “cavalo”) como mais essenciais do que indivíduos concretos que aparecem.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-5,O “homem cartesiano” como encarnação fictícia do pensar,"O ideal do filósofo que vive exclusivamente no pensar — o “homem feito de pensamento” — é artificial, não se relaciona com a vida concreta dos indivíduos.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-6,O cogito como atividade que acentua a separação entre ego e mundo,"Arendt reafirma que o cogito não descreve o mundo, mas apenas a atividade de pensar. Essa atividade reforça a sensação de irrealidade do mundo externo e pode levar a conclusões falaciosas.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-7,O “sensus communis” como condição da realidade compartilhada,"A realidade é garantida pelo sensus communis, entendido como: o sentido comum que unifica os cinco sentidos em cada indivíduo; a faculdade que compartilha um mesmo mundo percebido entre indivíduos.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-8,A realidade aparece como “sensação de estar no mundo”,Arendt explica que a realidade não é um dado sensorial isolado. Ela é uma sensação construída pela convivência entre seres que aparecem uns aos outros e percebem coisas em comum.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-9,A distinção entre o “inner sense” e o sensus communis,"O inner sense, por estar ligado às sensações internas, é instável e inapto a produzir realidade comum. Já o sensus communis fundamenta a objetividade do mundo.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-10,A irredutibilidade do senso comum aos processos biológicos,"Mesmo que o senso comum tenha raízes biológicas, seu papel na constituição da realidade é irreduzível aos mecanismos fisiológicos — ele é uma estrutura do aparecer no mundo humano.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-11,A tese central: o sensus communis salva o mundo da dissolução causada pelo pensamento,"O pensar tende a suspender o mundo, enquanto o senso comum o restabelece: O pensamento afasta o indivíduo do mundo. O senso comum devolve a realidade compartilhada.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-12,A crítica ao “profissional do pensamento”,Arendt afirma que a perda do senso comum ocorre mais frequentemente em quem vive exclusivamente na atividade intelectual. É uma consequência do afastamento prolongado do mundo das aparências.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 7-13,"Introdução ao próximo tema: intelecto, razão, verdade e significado","A seção final prepara a entrada na distinção kantiana entre Verstand (intelecto) e Vernunft (razão), que estruturará a discussão seguinte.   ",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 8-1,A tensão entre ciência e senso comum,"Arendt mostra que ciência e senso comum partem de lógicas diferentes: a ciência se afasta do mundo das aparências para produzir resultados; o senso comum opera dentro das aparências, garantindo orientação no mundo.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-2,O progresso científico como ruptura com a percepção comum,"A ciência frequentemente afirma coisas que não coincidem com o que os sentidos mostram (por exemplo, átomos invisíveis para a percepção). Isso produz um abismo entre o conhecimento científico e a evidência sensível cotidiana.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-3,A tendência moderna de retirar-se do mundo para “pensar”,"Desde Descartes, há um movimento no qual o pensar se afasta do mundo sensível. A ciência herdou esse afastamento parcial; a filosofia o leva ao extremo.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-4,A ilusão moderna do “progresso ilimitado”,Arendt analisa a ideia moderna e científica de progresso infinito como consequência da renúncia à noção de limites do conhecimento. Essa noção decorre de afastar-se progressivamente da percepção comum.,Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-5,A crítica à separação absoluta entre o pensar e o aparecer,A retirada radical do pensamento para longe das aparências conduz a erros sistemáticos: perde-se o vínculo com o mundo que garante realidade e sentido.,Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-6,A tecnologia força o não-aparente a aparecer,"Tecnologia é caracterizada como o mecanismo que obriga o não-aparente a se mostrar e entrar no domínio do sensível — embora isso só seja possível porque, no final, tudo precisa aparecer para fazer sentido para nós.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-7,A distinção kantiana entre intelecto (Verstand) e razão (Vernunft),"Arendt apresenta a distinção crucial: intelecto: produz conhecimento, opera dentro dos limites da experiência e do mundo das aparências; razão: faz perguntas de significado, ultrapassa as aparências e lida com o que não pode ser dado aos sentidos.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-8,Verdade versus significado,"A verdade diz respeito ao que o intelecto pode verificar no mundo das aparências. O significado diz respeito às questões não resolvíveis pela experiência — Deus, liberdade, alma, destino, sentido.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-9,A “busca de sentido” é invisível ao senso comum,"Para o senso comum, o significado é “sem sentido” (meaningless), pois ultrapassa o domínio do que pode ser percebido ou verificado.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-10,As duas formas de verdade segundo Leibniz,"Arendt apresenta a distinção: verdades necessárias (“razão”) verdades contingentes (“fato”). Essa distinção estrutura parte da discussão sobre ciência, razão e aparência.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-11,A compulsão da razão pelo necessário,"A razão busca o necessário; quando encontra proposições que são obrigatórias (análogas às matemáticas), ela as toma como verdades irrefutáveis.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-12,O pensamento especulativo cria significados que não podem ser confirmados pela ciência,"Arendt mostra que proposições como “o mundo é feito para nós” ou “o universo tem um propósito” não são verificáveis cientificamente, mas emergem da atividade própria da razão.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-13,A distinção entre conhecer e pensar,Conhecer trata do dado sensível e do verificável. Pensar trata do que ultrapassa a experiência. Esse contraste é apresentado como essencial para compreender o papel da filosofia.,Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-14,A crítica a Kant: razão e intelecto nunca permanecem totalmente separados,"Arendt observa que mesmo Kant, apesar da distinção rigorosa que formula, acaba por deixar que razão e intelecto se misturem, gerando equívocos persistentes na tradição filosófica.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-15,A razão possui uma dimensão teleológica,"A razão opera por “propósitos internos”: seu interesse por liberdade, imortalidade e Deus não vem da experiência, mas da própria atividade de pensar.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-16,"A razão é movida por necessidades próprias, não pelos dados do mundo","Ela tem sua própria dinâmica — busca, pergunta, exige. Não é guiada pelo mundo sensível, mas pela necessidade de ultrapassar o dado.",Atividade Mental e Condições Internas do Pensar
Capítulo 1: Aparência,Pensar 8-17,A última tese: a razão não tem outro “ofício” senão pensar a si mesma,"Arendt conclui com a formulação kantiana: a razão pura não tem outro fim além de si mesma; sua vocação é pensar, independentemente de produzir conhecimento científico.",Atividade Mental e Condições Internas do Pensar
Capítulo 2: As atividades espirituais em um mundo de aparências,Pensar 9-1,As três atividades mentais são autônomas,"Pensar, querer e julgar não derivam umas das outras, possuem leis próprias e operam segundo impulsos internos específicos.",Atividade Mental e Condições Internas do Pensar
Capítulo 2: As atividades espirituais em um mundo de aparências,Pensar 9-2,A razão tem um impulso próprio para especular,"A razão busca significado, não resultados práticos, e por isso tende naturalmente ao especulativo. Não move a vontade e não produz ação.",Atividade Mental e Condições Internas do Pensar
Capítulo 2: As atividades espirituais em um mundo de aparências,Pensar 9-3,Pensar exige retirada do mundo das aparências,"O pensamento acontece quando o indivíduo se afasta da presença sensível do mundo, criando um espaço de suspensão.",Atividade Mental e Condições Internas do Pensar
Capítulo 2: As atividades espirituais em um mundo de aparências,Pensar 9-4,A quietude das paixões é condição do pensar,"Para pensar, é necessário certo silêncio interior das emoções e impulsos, criando o estado de “desapaixonamento”.",Atividade Mental e Condições Internas do Pensar
Capítulo 2: As atividades espirituais em um mundo de aparências,Pensar 9-5,O pensamento torna presente o ausente,Pensar é re-apresentar aquilo que não está nos sentidos; essa operação é possível por meio da imaginação.,Atividade Mental e Condições Internas do Pensar
Capítulo 2: As atividades espirituais em um mundo de aparências,Pensar 9-6,A imaginação prepara objetos para o pensar,"A imaginação transforma dados sensoriais em imagens internas, permitindo que se tornem objetos aptos para reflexão.",Atividade Mental e Condições Internas do Pensar
Capítulo 2: As atividades espirituais em um mundo de aparências,Pensar 9-7,O pensamento é diálogo do “eu com eu mesmo”,"A duplicação interna (“eu” e “eu mesmo”) é a estrutura básica da vida mental, caracterizando a consciência.",Atividade Mental e Condições Internas do Pensar
Capítulo 2: As atividades espirituais em um mundo de aparências,Pensar 9-8,Essa dualidade não implica uma substância separada (alma),"Arendt rejeita explicações metafísicas tradicionais; a duplicidade do pensamento é experiência interna, não ontologia.",Atividade Mental e Condições Internas do Pensar
Capítulo 2: As atividades espirituais em um mundo de aparências,Pensar 9-9,A intensidade do pensar afasta o indivíduo do mundo,"Quanto mais intensa a vida mental, maior o afastamento da experiência sensível e da presença do mundo.",Atividade Mental e Condições Internas do Pensar
